Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*
3;Terminy:select:1;16'30 23.11:14
3;Terminy:select:1;10'00 23.11:15
3;Terminy:select:1;10'15 24.11:16
3;Terminy:select:1;13'15 24.11:17
3;Terminy:select:1;16'30 24.11:18
3;Terminy:select:1;10'30 25.11:19
3;Terminy:select:1;12'50 25.11:20
3;Terminy:select:1;16'30 25.11:21
4;Terminy:select:1;17'30 18.11:0
4;Terminy:select:1;20'50 18.11:1
4;Terminy:select:1;20'15 19.11:2
4;Terminy:select:1;20'15 20.11:3
4;Terminy:select:1;20'15 21.11:4
4;Terminy:select:1;20'15 23.11:5
5;Terminy:select:1;11'30 18.11:0
6;Terminy:select:1;15'40 18.11:0
6;Terminy:select:1;19'15 18.11:1
6;Terminy:select:1;21'30 18.11:2
6;Terminy:select:1;15'10 19.11:3
6;Terminy:select:1;19'20 19.11:4
6;Terminy:select:1;21'40 19.11:5
6;Terminy:select:1;15'10 20.11:6
6;Terminy:select:1;19'20 20.11:7
6;Terminy:select:1;21'40 20.11:8
6;Terminy:select:1;15'10 21.11:9
6;Terminy:select:1;19'20 21.11:10
6;Terminy:select:1;21'40 21.11:11
6;Terminy:select:1;15'10 22.11:12
6;Terminy:select:1;20'10 22.11:13
6;Terminy:select:1;21'45 22.11:14
6;Terminy:select:1;15'10 23.11:15
6;Terminy:select:1;19'20 23.11:16
6;Terminy:select:1;21'40 23.11:17
6;Terminy:select:1;15'10 24.11:18
6;Terminy:select:1;20'00 24.11:19
6;Terminy:select:1;21'45 24.11:20
6;Terminy:select:1;15'10 25.11:21
6;Terminy:select:1;20'10 25.11:22
6;Terminy:select:1;21'45 25.11:23
7;Terminy:select:1;15'15 18.11:0
8;Terminy:select:1;12'00 18.11:0
8;Terminy:select:1;9'00 24.11:1
9;Terminy:select:1;20'00 18.11:0
10;Terminy:select:1;10'00 18.11:0
11;Terminy:select:1;9'30 18.11:0
12;Terminy:select:1;11'45 19.11:0
12;Terminy:select:1;18'20 19.11:1
12;Terminy:select:1;11'45 20.11:2
12;Terminy:select:1;18'15 20.11:3
12;Terminy:select:1;11'45 21.11:4
12;Terminy:select:1;18'15 21.11:5
12;Terminy:select:1;11'45 22.11:6
12;Terminy:select:1;19'20 22.11:7
12;Terminy:select:1;11'50 23.11:8
12;Terminy:select:1;18'15 23.11:9
12;Terminy:select:1;11'45 24.11:10
12;Terminy:select:1;19'20 24.11:11
12;Terminy:select:1;11'45 25.11:12
12;Terminy:select:1;19'20 25.11:13
13;Terminy:select:1;14'15 19.11:0
13;Terminy:select:1;20'45 19.11:1
13;Terminy:select:1;14'15 20.11:2
13;Terminy:select:1;20'45 20.11:3
13;Terminy:select:1;14'15 21.11:4
13;Terminy:select:1;20'45 21.11:5
13;Terminy:select:1;14'15 22.11:6
13;Terminy:select:1;20'20 22.11:7
13;Terminy:select:1;14'15 23.11:8
13;Terminy:select:1;20'45 23.11:9
13;Terminy:select:1;14'15 24.11:10
13;Terminy:select:1;20'15 24.11:11
13;Terminy:select:1;14'15 25.11:12
13;Terminy:select:1;20'20 25.11:13
14;Terminy:select:1;11'10 19.11:0
14;Terminy:select:1;17'30 19.11:1
14;Terminy:select:1;11'10 20.11:2
14;Terminy:select:1;17'30 20.11:3
14;Terminy:select:1;11'10 21.11:4
14;Terminy:select:1;17'30 21.11:5
14;Terminy:select:1;11'10 22.11:6
14;Terminy:select:1;17'30 22.11:7
14;Terminy:select:1;12'00 23.11:8
14;Terminy:select:1;17'30 23.11:9
14;Terminy:select:1;11'10 24.11:10
14;Terminy:select:1;17'30 24.11:11
14;Terminy:select:1;11'10 25.11:12
14;Terminy:select:1;17'30 25.11:13
15;Terminy:select:1;10'40 19.11:0
15;Terminy:select:1;14'00 19.11:1
15;Terminy:select:1;17'00 19.11:2
15;Terminy:select:1;10'50 20.11:3
15;Terminy:select:1;14'00 20.11:4
15;Terminy:select:1;17'00 20.11:5
15;Terminy:select:1;10'50 21.11:6
15;Terminy:select:1;14'00 21.11:7
15;Terminy:select:1;17'00 21.11:8
15;Terminy:select:1;10'45 22.11:9
15;Terminy:select:1;14'00 22.11:10
15;Terminy:select:1;17'00 22.11:11
15;Terminy:select:1;9'30 22.11:12
15;Terminy:select:1;10'50 23.11:13
15;Terminy:select:1;14'15 23.11:14
15;Terminy:select:1;17'00 23.11:15
15;Terminy:select:1;10'45 24.11:16
15;Terminy:select:1;14'00 24.11:17
15;Terminy:select:1;17'00 24.11:18
15;Terminy:select:1;9'15 24.11:19
15;Terminy:select:1;10'40 25.11:20
15;Terminy:select:1;14'00 25.11:21
15;Terminy:select:1;17'00 25.11:22
16;Terminy:select:1;13'00 19.11:0
17;Terminy:select:1;13'20 20.11:0
17;Terminy:select:1;13'20 21.11:1
18;Terminy:select:1;18'00 22.11:0
19;Terminy:select:1;9'00 23.11:0
20;Terminy:select:1;18'00 24.11:0
21;Terminy:select:1;13'00 25.11:0
21;Terminy:select:1;18'00 25.11:1
22;Terminy:select:1;9'00 25.11:0
23;Terminy:select:1;13'00* 18.11:0
23;Terminy:select:1;18'00* 18.11:1
24;Terminy:select:1;11'10 18.11:0
24;Terminy:select:1;15'00 18.11:1
24;Terminy:select:1;17'45 18.11:2
24;Terminy:select:1;18'30 18.11:3
24;Terminy:select:1;20'30 18.11:4
24;Terminy:select:1;21'10 18.11:5
24;Terminy:select:1;11'00 19.11:6
24;Terminy:select:1;13'30 19.11:7
24;Terminy:select:1;16'10 19.11:8
24;Terminy:select:1;18'30 19.11:9
24;Terminy:select:1;21'10 19.11:10
24;Terminy:select:1;10'50 20.11:11
24;Terminy:select:1;13'30 20.11:12
24;Terminy:select:1;16'10 20.11:13
24;Terminy:select:1;18'30 20.11:14
24;Terminy:select:1;21'10 20.11:15
24;Terminy:select:1;10'50 21.11:16
24;Terminy:select:1;13'30 21.11:17
24;Terminy:select:1;16'10 21.11:18
24;Terminy:select:1;18'30 21.11:19
24;Terminy:select:1;21'10 21.11:20
24;Terminy:select:1;10'50 22.11:21
24;Terminy:select:1;13'30 22.11:22
24;Terminy:select:1;16'10 22.11:23
24;Terminy:select:1;18'30 22.11:24
24;Terminy:select:1;21'10 22.11:25
24;Terminy:select:1;10'50 23.11:26
24;Terminy:select:1;13'30 23.11:27
24;Terminy:select:1;16'10 23.11:28
24;Terminy:select:1;18'30 23.11:29
24;Terminy:select:1;21'10 23.11:30
24;Terminy:select:1;10'50 24.11:31
24;Terminy:select:1;13'30 24.11:32
24;Terminy:select:1;16'10 24.11:33
24;Terminy:select:1;18'30 24.11:34
24;Terminy:select:1;21'10 24.11:35
24;Terminy:select:1;10'50 25.11:36
24;Terminy:select:1;13'30 25.11:37
24;Terminy:select:1;16'10 25.11:38
24;Terminy:select:1;18'30 25.11:39
24;Terminy:select:1;21'10 25.11:40
25;Terminy:select:1;12'00 18.11:0
25;Terminy:select:1;14'10 18.11:1
25;Terminy:select:1;16'20 18.11:2
25;Terminy:select:1;18'15 18.11:3
25;Terminy:select:1;11'50 19.11:4
25;Terminy:select:1;14'10 19.11:5
25;Terminy:select:1;16'20 19.11:6
25;Terminy:select:1;10'40 20.11:7
25;Terminy:select:1;16'20 20.11:8
25;Terminy:select:1;10'40 21.11:9
25;Terminy:select:1;16'20 21.11:10
25;Terminy:select:1;11'00 22.11:11
25;Terminy:select:1;14'10 22.11:12
25;Terminy:select:1;16'20 22.11:13
25;Terminy:select:1;10'40 23.11:14
25;Terminy:select:1;14'10 23.11:15
25;Terminy:select:1;16'20 23.11:16
25;Terminy:select:1;11'00 24.11:17
25;Terminy:select:1;14'10 24.11:18
25;Terminy:select:1;16'20 24.11:19
25;Terminy:select:1;11'15 25.11:20
25;Terminy:select:1;14'10 25.11:21
25;Terminy:select:1;16'20 25.11:22
26;Terminy:select:1;10'40 18.11:0
26;Terminy:select:1;17'20 18.11:1
26;Terminy:select:1;20'40 18.11:2
26;Terminy:select:1;12'10 19.11:3
26;Terminy:select:1;19'15 19.11:4
26;Terminy:select:1;12'10 20.11:5
26;Terminy:select:1;19'40 20.11:6
26;Terminy:select:1;12'10 21.11:7
26;Terminy:select:1;19'40 21.11:8
26;Terminy:select:1;19'30 22.11:9
26;Terminy:select:1;12'10 23.11:10
26;Terminy:select:1;19'15 23.11:11
26;Terminy:select:1;12'10 24.11:12
26;Terminy:select:1;19'30 24.11:13
26;Terminy:select:1;12'10 25.11:14
26;Terminy:select:1;19'30 25.11:15
27;Terminy:select:1;14'00 18.11:0
27;Terminy:select:1;19'30 18.11:1
27;Terminy:select:1;15'30 19.11:2
27;Terminy:select:1;15'30 20.11:3
27;Terminy:select:1;15'30 21.11:4
27;Terminy:select:1;15'40 22.11:5
27;Terminy:select:1;15'30 23.11:6
27;Terminy:select:1;15'40 24.11:7
27;Terminy:select:1;15'40 25.11:8
28;Terminy:select:1;13'40 18.11:0
28;Terminy:select:1;16'00 18.11:1
28;Terminy:select:1;18'45 18.11:2
28;Terminy:select:1;21'00 18.11:3
28;Terminy:select:1;13'00 19.11:4
28;Terminy:select:1;15'40 19.11:5
28;Terminy:select:1;18'00 19.11:6
28;Terminy:select:1;20'30 19.11:7
28;Terminy:select:1;13'00 20.11:8
28;Terminy:select:1;15'40 20.11:9
28;Terminy:select:1;18'00 20.11:10
28;Terminy:select:1;20'30 20.11:11
28;Terminy:select:1;13'00 21.11:12
28;Terminy:select:1;15'40 21.11:13
28;Terminy:select:1;18'00 21.11:14
28;Terminy:select:1;20'30 21.11:15
28;Terminy:select:1;11'45 22.11:16
28;Terminy:select:1;15'50 22.11:17
28;Terminy:select:1;18'15 22.11:18
28;Terminy:select:1;20'40 22.11:19
28;Terminy:select:1;13'00 23.11:20
28;Terminy:select:1;15'40 23.11:21
28;Terminy:select:1;18'00 23.11:22
28;Terminy:select:1;20'30 23.11:23
28;Terminy:select:1;13'00 24.11:24
28;Terminy:select:1;15'50 24.11:25
28;Terminy:select:1;18'15 24.11:26
28;Terminy:select:1;20'40 24.11:27
28;Terminy:select:1;13'10 25.11:28
28;Terminy:select:1;15'50 25.11:29
28;Terminy:select:1;18'15 25.11:30
28;Terminy:select:1;20'40 25.11:31
29;Terminy:select:1;12'50 18.11:0
29;Terminy:select:1;16'10 18.11:1
29;Terminy:select:1;19'45 18.11:2
29;Terminy:select:1;11'10 19.11:3
29;Terminy:select:1;19'30 19.11:4
29;Terminy:select:1;11'10 20.11:5
29;Terminy:select:1;19'20 20.11:6
29;Terminy:select:1;11'10 21.11:7
29;Terminy:select:1;19'20 21.11:8
29;Terminy:select:1;12'00 22.11:9
29;Terminy:select:1;20'10 22.11:10
29;Terminy:select:1;11'10 23.11:11
29;Terminy:select:1;19'30 23.11:12
29;Terminy:select:1;11'50 24.11:13
29;Terminy:select:1;20'00 24.11:14
29;Terminy:select:1;10'40 25.11:15
29;Terminy:select:1;20'10 25.11:16
30;Terminy:select:1;10'50 18.11:0
30;Terminy:select:1;10'30 19.11:1
30;Terminy:select:1;10'30 20.11:2
30;Terminy:select:1;10'30 21.11:3
30;Terminy:select:1;13'00 22.11:4
30;Terminy:select:1;10'30 23.11:5
30;Terminy:select:1;10'30 24.11:6
30;Terminy:select:1;10'30 25.11:7
31;Terminy:select:1;15'20 18.11:0
32;Terminy:select:1;10'20 18.11:0
33;Terminy:select:1;12'40 18.11:0
34;Terminy:select:1;10'30 18.11:0
35;Terminy:select:1;15'40 18.11:0
35;Terminy:select:1;20'20 18.11:1
36;Terminy:select:1;10'00 18.11:0
37;Terminy:select:1;10'10 18.11:0
37;Terminy:select:1;13'20 18.11:1
37;Terminy:select:1;10'00 19.11:2
38;Terminy:select:1;13'10 19.11:0
38;Terminy:select:1;18'45 19.11:1
38;Terminy:select:1;21'20 19.11:2
38;Terminy:select:1;13'10 20.11:3
38;Terminy:select:1;18'45 20.11:4
38;Terminy:select:1;21'20 20.11:5
38;Terminy:select:1;13'10 21.11:6
38;Terminy:select:1;18'45 21.11:7
38;Terminy:select:1;21'20 21.11:8
38;Terminy:select:1;13'15 22.11:9
38;Terminy:select:1;18'45 22.11:10
38;Terminy:select:1;21'20 22.11:11
38;Terminy:select:1;13'10 23.11:12
38;Terminy:select:1;18'45 23.11:13
38;Terminy:select:1;21'20 23.11:14
38;Terminy:select:1;13'15 24.11:15
38;Terminy:select:1;18'45 24.11:16
38;Terminy:select:1;21'20 24.11:17
38;Terminy:select:1;13'20 25.11:18
38;Terminy:select:1;18'45 25.11:19
38;Terminy:select:1;21'20 25.11:20
39;Terminy:select:1;10'10 19.11:0
39;Terminy:select:1;17'30 19.11:1
39;Terminy:select:1;11'20 20.11:2
39;Terminy:select:1;17'30 20.11:3
39;Terminy:select:1;11'20 21.11:4
39;Terminy:select:1;17'30 21.11:5
39;Terminy:select:1;10'10 22.11:6
39;Terminy:select:1;12'50 22.11:7
39;Terminy:select:1;17'30 22.11:8
39;Terminy:select:1;11'20 23.11:9
39;Terminy:select:1;17'30 23.11:10
39;Terminy:select:1;11'20 24.11:11
39;Terminy:select:1;17'30 24.11:12
39;Terminy:select:1;10'20 25.11:13
39;Terminy:select:1;17'30 25.11:14
40;Terminy:select:1;14'45 19.11:0
40;Terminy:select:1;20'20 19.11:1
40;Terminy:select:1;14'45 20.11:2
40;Terminy:select:1;20'20 20.11:3
40;Terminy:select:1;14'45 21.11:4
40;Terminy:select:1;20'20 21.11:5
40;Terminy:select:1;14'45 22.11:6
40;Terminy:select:1;20'20 22.11:7
40;Terminy:select:1;14'45 23.11:8
40;Terminy:select:1;20'20 23.11:9
40;Terminy:select:1;14'45 24.11:10
40;Terminy:select:1;20'20 24.11:11
40;Terminy:select:1;14'45 25.11:12
40;Terminy:select:1;20'20 25.11:13
41;Terminy:select:1;10'00 19.11:0
41;Terminy:select:1;12'20 19.11:1
41;Terminy:select:1;14'30 19.11:2
41;Terminy:select:1;17'00 19.11:3
41;Terminy:select:1;10'00 20.11:4
41;Terminy:select:1;12'20 20.11:5
41;Terminy:select:1;14'30 20.11:6
41;Terminy:select:1;17'15 20.11:7
41;Terminy:select:1;10'00 21.11:8
41;Terminy:select:1;12'20 21.11:9
41;Terminy:select:1;14'30 21.11:10
41;Terminy:select:1;17'15 21.11:11
41;Terminy:select:1;10'00 22.11:12
41;Terminy:select:1;12'20 22.11:13
41;Terminy:select:1;15'30 22.11:14
41;Terminy:select:1;17'10 22.11:15
41;Terminy:select:1;10'00 23.11:16
41;Terminy:select:1;12'20 23.11:17
41;Terminy:select:1;14'30 23.11:18
41;Terminy:select:1;17'00 23.11:19
41;Terminy:select:1;10'00 24.11:20
41;Terminy:select:1;12'20 24.11:21
41;Terminy:select:1;15'10 24.11:22
41;Terminy:select:1;17'10 24.11:23
41;Terminy:select:1;10'00 25.11:24
41;Terminy:select:1;12'20 25.11:25
41;Terminy:select:1;15'30 25.11:26
41;Terminy:select:1;17'10 25.11:27
42;Terminy:select:1;10'20 19.11:0
42;Terminy:select:1;15'20 19.11:1
42;Terminy:select:1;17'15 19.11:2
42;Terminy:select:1;10'20 20.11:3
42;Terminy:select:1;15'20 20.11:4
42;Terminy:select:1;10'20 21.11:5
42;Terminy:select:1;15'20 21.11:6
42;Terminy:select:1;10'40 22.11:7
42;Terminy:select:1;15'20 22.11:8
42;Terminy:select:1;10'20 23.11:9
42;Terminy:select:1;15'20 23.11:10
42;Terminy:select:1;17'15 23.11:11
42;Terminy:select:1;10'20 24.11:12
42;Terminy:select:1;15'20 24.11:13
42;Terminy:select:1;10'10 25.11:14
42;Terminy:select:1;15'20 25.11:15
43;Terminy:select:1;19'00 19.11:0
43;Terminy:select:1;21'30 19.11:1
43;Terminy:select:1;19'00 20.11:2
43;Terminy:select:1;21'30 20.11:3
43;Terminy:select:1;19'00 21.11:4
43;Terminy:select:1;21'30 21.11:5
43;Terminy:select:1;19'00 22.11:6
43;Terminy:select:1;21'30 22.11:7
43;Terminy:select:1;19'00 23.11:8
43;Terminy:select:1;21'30 23.11:9
43;Terminy:select:1;19'00 24.11:10
43;Terminy:select:1;21'30 24.11:11
43;Terminy:select:1;19'00 25.11:12
43;Terminy:select:1;21'30 25.11:13
44;Terminy:select:1;9'00 19.11:0
45;Terminy:select:1;14'00 20.11:0
45;Terminy:select:1;17'00 20.11:1
45;Terminy:select:1;14'00 21.11:2
45;Terminy:select:1;17'00 21.11:3
46;Terminy:select:1;18'00 22.11:0
47;Terminy:select:1;9'30 23.11:0
48;Terminy:select:1;18'00* 24.11:0
49;Terminy:select:1;9'00 25.11:0
50;Terminy:select:1;13'00* 25.11:0
50;Terminy:select:1;18'00* 25.11:1
51;Terminy:select:1;13'00* 18.11:0
51;Terminy:select:1;18'00* 18.11:1
52;Terminy:select:1;12'40 18.11:0
52;Terminy:select:1;15'20 18.11:1
52;Terminy:select:1;17'15 18.11:2
52;Terminy:select:1;19'00 18.11:3
52;Terminy:select:1;21'00 18.11:4
52;Terminy:select:1;21'40 18.11:5
52;Terminy:select:1;12'00 19.11:6
52;Terminy:select:1;12'50 19.11:7
52;Terminy:select:1;15'30 19.11:8
52;Terminy:select:1;18'00 19.11:9
52;Terminy:select:1;20'40 19.11:10
52;Terminy:select:1;12'40 20.11:11
52;Terminy:select:1;15'20 20.11:12
52;Terminy:select:1;18'00 20.11:13
52;Terminy:select:1;20'40 20.11:14
52;Terminy:select:1;12'40 21.11:15
52;Terminy:select:1;15'20 21.11:16
52;Terminy:select:1;18'00 21.11:17
52;Terminy:select:1;20'40 21.11:18
52;Terminy:select:1;11'00 22.11:19
52;Terminy:select:1;12'40 22.11:20
52;Terminy:select:1;15'20 22.11:21
52;Terminy:select:1;18'00 22.11:22
52;Terminy:select:1;20'40 22.11:23
52;Terminy:select:1;11'00 23.11:24
52;Terminy:select:1;12'40 23.11:25
52;Terminy:select:1;15'20 23.11:26
52;Terminy:select:1;18'00 23.11:27
52;Terminy:select:1;20'40 23.11:28
52;Terminy:select:1;11'00 24.11:29
52;Terminy:select:1;12'40 24.11:30
52;Terminy:select:1;15'20 24.11:31
52;Terminy:select:1;18'00 24.11:32
52;Terminy:select:1;20'40 24.11:33
52;Terminy:select:1;10'30 25.11:34
52;Terminy:select:1;12'50 25.11:35
52;Terminy:select:1;15'20 25.11:36
52;Terminy:select:1;17'50 25.11:37
52;Terminy:select:1;20'30 25.11:38
53;Terminy:select:1;10'00 18.11:0
53;Terminy:select:1;14'30 18.11:1
53;Terminy:select:1;16'45 18.11:2
53;Terminy:select:1;18'45 18.11:3
53;Terminy:select:1;10'30 19.11:4
53;Terminy:select:1;14'40 19.11:5
53;Terminy:select:1;16'50 19.11:6
53;Terminy:select:1;10'30 20.11:7
53;Terminy:select:1;14'45 20.11:8
53;Terminy:select:1;10'30 21.11:9
53;Terminy:select:1;16'45 21.11:10
53;Terminy:select:1;14'30 22.11:11
53;Terminy:select:1;16'45 22.11:12
53;Terminy:select:1;10'30 23.11:13
53;Terminy:select:1;14'30 23.11:14
53;Terminy:select:1;16'45 23.11:15
53;Terminy:select:1;9'00 23.11:16
53;Terminy:select:1;14'30 24.11:17
53;Terminy:select:1;16'45 24.11:18
53;Terminy:select:1;10'00 24.11:19
53;Terminy:select:1;14'20 25.11:20
53;Terminy:select:1;16'45 25.11:21
53;Terminy:select:1;10'00 25.11:22
54;Terminy:select:1;11'40 18.11:0
54;Terminy:select:1;17'00 18.11:1
54;Terminy:select:1;20'20 18.11:2
54;Terminy:select:1;20'00 19.11:3
54;Terminy:select:1;20'00 20.11:4
54;Terminy:select:1;20'00 21.11:5
54;Terminy:select:1;20'00 22.11:6
54;Terminy:select:1;20'00 23.11:7
54;Terminy:select:1;20'00 24.11:8
54;Terminy:select:1;20'00 25.11:9
55;Terminy:select:1;10'20 18.11:0
55;Terminy:select:1;13'40 18.11:1
55;Terminy:select:1;9'00 19.11:2
55;Terminy:select:1;13'10 20.11:3
55;Terminy:select:1;13'10 21.11:4
55;Terminy:select:1;13'10 22.11:5
55;Terminy:select:1;13'10 23.11:6
55;Terminy:select:1;13'10 24.11:7
55;Terminy:select:1;13'10 25.11:8
56;Terminy:select:1;16'00 18.11:0
56;Terminy:select:1;18'15 18.11:1
56;Terminy:select:1;20'30 18.11:2
56;Terminy:select:1;14'15 19.11:3
56;Terminy:select:1;16'30 19.11:4
56;Terminy:select:1;18'45 19.11:5
56;Terminy:select:1;21'00 19.11:6
56;Terminy:select:1;10'50 20.11:7
56;Terminy:select:1;16'30 20.11:8
56;Terminy:select:1;18'45 20.11:9
56;Terminy:select:1;21'00 20.11:10
56;Terminy:select:1;10'50 21.11:11
56;Terminy:select:1;16'30 21.11:12
56;Terminy:select:1;18'45 21.11:13
56;Terminy:select:1;21'00 21.11:14
56;Terminy:select:1;10'50 22.11:15
56;Terminy:select:1;16'30 22.11:16
56;Terminy:select:1;18'45 22.11:17
56;Terminy:select:1;21'00 22.11:18
56;Terminy:select:1;10'50 23.11:19
56;Terminy:select:1;16'30 23.11:20
56;Terminy:select:1;18'45 23.11:21
56;Terminy:select:1;21'00 23.11:22
56;Terminy:select:1;10'50 24.11:23
56;Terminy:select:1;16'30 24.11:24
56;Terminy:select:1;18'45 24.11:25
56;Terminy:select:1;21'00 24.11:26
56;Terminy:select:1;10'50 25.11:27
56;Terminy:select:1;16'30 25.11:28
56;Terminy:select:1;18'45 25.11:29
56;Terminy:select:1;21'00 25.11:30
57;Terminy:select:1;11'00 18.11:0
57;Terminy:select:1;17'30 18.11:1
57;Terminy:select:1;20'50 18.11:2
57;Terminy:select:1;19'30 19.11:3
57;Terminy:select:1;11'30 19.11:4
57;Terminy:select:1;11'00 20.11:5
57;Terminy:select:1;19'20 20.11:6
57;Terminy:select:1;11'00 21.11:7
57;Terminy:select:1;19'20 21.11:8
57;Terminy:select:1;11'15 22.11:9
57;Terminy:select:1;19'20 22.11:10
57;Terminy:select:1;11'15 23.11:11
57;Terminy:select:1;19'20 23.11:12
57;Terminy:select:1;11'15 24.11:13
57;Terminy:select:1;19'20 24.11:14
57;Terminy:select:1;11'00 25.11:15
57;Terminy:select:1;19'20 25.11:16
58;Terminy:select:1;13'30 18.11:0
59;Terminy:select:1;15'00 18.11:0
60;Terminy:select:1;14'20 18.11:0
60;Terminy:select:1;19'45 18.11:1
61;Terminy:select:1;10'45 18.11:0
62;Terminy:select:1;11'10 18.11:0
63;Terminy:select:1;10'30 18.11:0
64;Terminy:select:1;15'10 18.11:0
64;Terminy:select:1;20'00 18.11:1
65;Terminy:select:1;12'00 18.11:0
65;Terminy:select:1;10'30 19.11:1
66;Terminy:select:1;9'00 18.11:0
67;Terminy:select:1;13'30 19.11:0
67;Terminy:select:1;17'45 19.11:1
67;Terminy:select:1;20'15 19.11:2
67;Terminy:select:1;13'30 20.11:3
67;Terminy:select:1;17'45 20.11:4
67;Terminy:select:1;20'15 20.11:5
67;Terminy:select:1;13'30 21.11:6
67;Terminy:select:1;17'45 21.11:7
67;Terminy:select:1;20'15 21.11:8
67;Terminy:select:1;13'30 22.11:9
67;Terminy:select:1;17'45 22.11:10
67;Terminy:select:1;20'15 22.11:11
67;Terminy:select:1;13'30 23.11:12
67;Terminy:select:1;17'45 23.11:13
67;Terminy:select:1;20'15 23.11:14
67;Terminy:select:1;13'30 24.11:15
67;Terminy:select:1;17'45 24.11:16
67;Terminy:select:1;20'15 24.11:17
67;Terminy:select:1;14'30 25.11:18
67;Terminy:select:1;17'30 25.11:19
67;Terminy:select:1;20'20 25.11:20
68;Terminy:select:1;10'20 19.11:0
68;Terminy:select:1;13'10 19.11:1
68;Terminy:select:1;17'20 19.11:2
68;Terminy:select:1;10'15 20.11:3
68;Terminy:select:1;13'00 20.11:4
68;Terminy:select:1;17'15 20.11:5
68;Terminy:select:1;10'15 21.11:6
68;Terminy:select:1;13'00 21.11:7
68;Terminy:select:1;17'15 21.11:8
68;Terminy:select:1;10'15 22.11:9
68;Terminy:select:1;13'00 22.11:10
68;Terminy:select:1;17'15 22.11:11
68;Terminy:select:1;10'15 23.11:12
68;Terminy:select:1;13'00 23.11:13
68;Terminy:select:1;17'15 23.11:14
68;Terminy:select:1;10'15 24.11:15
68;Terminy:select:1;11'40 25.11:16
68;Terminy:select:1;20'50 25.11:17
69;Terminy:select:1;14'30 19.11:0
69;Terminy:select:1;19'00 19.11:1
69;Terminy:select:1;21'45 19.11:2
69;Terminy:select:1;14'30 20.11:3
69;Terminy:select:1;19'00 20.11:4
69;Terminy:select:1;21'45 20.11:5
69;Terminy:select:1;14'30 21.11:6
69;Terminy:select:1;19'00 21.11:7
69;Terminy:select:1;21'45 21.11:8
69;Terminy:select:1;14'15 22.11:9
69;Terminy:select:1;19'00 22.11:10
69;Terminy:select:1;21'45 22.11:11
69;Terminy:select:1;14'15 23.11:12
69;Terminy:select:1;19'00 23.11:13
69;Terminy:select:1;21'45 23.11:14
69;Terminy:select:1;13'00 24.11:15
69;Terminy:select:1;14'15 24.11:16
69;Terminy:select:1;17'15 24.11:17
69;Terminy:select:1;19'00 24.11:18
69;Terminy:select:1;21'45 24.11:19
69;Terminy:select:1;15'15 25.11:20
69;Terminy:select:1;19'00 25.11:21
70;Terminy:select:1;10'00 19.11:0
70;Terminy:select:1;12'20 19.11:1
70;Terminy:select:1;14'50 19.11:2
70;Terminy:select:1;17'10 19.11:3
70;Terminy:select:1;10'00 20.11:4
70;Terminy:select:1;12'20 20.11:5
70;Terminy:select:1;17'00 20.11:6
70;Terminy:select:1;10'00 21.11:7
70;Terminy:select:1;12'20 21.11:8
70;Terminy:select:1;14'40 21.11:9
70;Terminy:select:1;17'00 21.11:10
70;Terminy:select:1;10'00 22.11:11
70;Terminy:select:1;12'20 22.11:12
70;Terminy:select:1;14'40 22.11:13
70;Terminy:select:1;17'00 22.11:14
70;Terminy:select:1;10'00 23.11:15
